199306,1024,0.1,0.1
199311,140,0.1,0.2
199406,3680,0.1,0.2
199411,140,0.2,0.2
199506,140,0.2,0.2
199511,140,0.2,0.2
199606,1024,0.2,0.3
199611,2048,0.4,0.6
199706,7264,1.1,1.5
199711,9152,1.3,1.8
199806,9152,1.3,1.8
199811,9152,1.3,1.8
199906,9472,2.1,3.2
199911,9632,2.4,3.2
200006,9632,2.4,3.2
200011,8192,4.9,12.3
200106,8192,7.2,12.3
200111,8192,7.2,12.3
200206,5120,35.9,41,3200
200211,5120,35.9,41,3200
200306,5120,35.9,41,3200
200311,5120,35.9,41,3200
200406,5120,35.9,41,3200
200411,32768,70.7,91.8
200506,65536,136.8,183.5,716
200511,131072,280.6,367,1433
200606,131072,280.6,367,1433
200611,131072,280.6,367,1433
200706,131072,280.6,367,1433
200711,212992,478.2,596.4,2329
200806,122400,1026.00,1375.80,2345
200811,129600,1105.00,1456.70,2483
200906,129600,1105.00,1456.70,2483
200911,224162,1759.00,2331.00,6950
201006,224162,1759.00,2331.00,6950
201011,186368,2566.00,4701.00,4040
201106,548352,8162.00,8773.60,9898.60
201111,705024,10510.00,11280.40,12659.90
201206,1572864,16324.80,20132.70,7890
201211,560640,17590.00,27112.50,8209
201306,3120000,33862.70,54902.40,17808
201311,3120000,33862.70,54902.40,17808
201406,3120000,33862.70,54902.40,17808
201411,3120000,33862.70,54902.40,17808
201506,3120000,33862.70,54902.40,17808
201511,3120000,33862.70,54902.40,17808
201606,10649600,93014.60,125435.90,15371
201611,10649600,93014.60,125435.90,15371
201706,10649600,93014.60,125435.90,15371
201711,10649600,93014.60,125435.90,15371
201806,2282544,122300.00,187659.30,8805.50
201811,2397824,143500.00,200794.90,9783
